word,num_1421,freq_1421
戒行,2,1.2541799554203703e-05
香,49,0.0003072740890779907
邪命說法,1,6.270899777101851e-06
無遮,1,6.270899777101851e-06
安樂,36,0.00022575239197566665
大師,9,5.643809799391666e-05
拔濟,1,6.270899777101851e-06
大德,317,0.001987875229341287
供佛,4,2.5083599108407405e-05
阿修羅,4,2.5083599108407405e-05
根,150,0.0009406349665652778
五指,7,4.389629843971296e-05
身相,11,6.897989754812037e-05
目多伽,1,6.270899777101851e-06
娑羅樹,2,1.2541799554203703e-05
無量,19,0.00011914709576493518
古佛,1,6.270899777101851e-06
二身,1,6.270899777101851e-06
六通,2,1.2541799554203703e-05
惡道,4,2.5083599108407405e-05
五惡,2,1.2541799554203703e-05
楊枝,31,0.0001943978930901574
因緣生,3,1.8812699331305554e-05
