Commentary on Four-Part Vinaya,,,Base Text (Four-part Vinaya),,
Word,Count,Freq.,Word,Count,Freq
梵行,24,0.0002044506362,露地,68,0.0002022910371
火淨,24,0.0002044506362,破見,68,0.0002022910371
受衣,24,0.0002044506362,黃門,67,0.0001993161689
作犯,24,0.0002044506362,多聞,66,0.0001963413007
常住,24,0.0002044506362,摩竭,65,0.0001933664325
和僧,24,0.0002044506362,摩訶,65,0.0001933664325
法有,24,0.0002044506362,界內,65,0.0001933664325
相續,24,0.0002044506362,能持,65,0.0001933664325
相應,24,0.0002044506362,正覺,65,0.0001933664325
大乘,23,0.0001959318597,知者,64,0.0001903915643
僧坊,23,0.0001959318597,親友,64,0.0001903915643
料簡,23,0.0001959318597,我有,63,0.0001874166962
歡喜,23,0.0001959318597,上人,63,0.0001874166962
無戒,23,0.0001959318597,安隱,63,0.0001874166962
坐禪,23,0.0001959318597,身相,62,0.000184441828
懺法,23,0.0001959318597,達多,62,0.000184441828
四重,23,0.0001959318597,禮拜,61,0.0001814669598
二罪,23,0.0001959318597,涅槃,61,0.0001814669598
搩手,23,0.0001959318597,三法,61,0.0001814669598
二法,23,0.0001959318597,閻浮,59,0.0001755172234
無記,22,0.0001874130832,由旬,59,0.0001755172234
惡道,22,0.0001874130832,行者,58,0.0001725423552
世尊,22,0.0001874130832,釋種,57,0.000169567487
外相,22,0.0001874130832,僧事,57,0.000169567487
白四,22,0.0001874130832,善哉,57,0.000169567487
戒師,22,0.0001874130832,波斯,56,0.0001665926188
差別,22,0.0001874130832,男根,56,0.0001665926188
結戒,22,0.0001874130832,增益,56,0.0001665926188
阿難,22,0.0001874130832,精進,55,0.0001636177506
命梵,22,0.0001874130832,時眾,55,0.0001636177506
時食,22,0.0001874130832,力者,54,0.0001606428824
教誡,22,0.0001874130832,佛說,54,0.0001606428824
生死,22,0.0001874130832,增長,54,0.0001606428824
人法,22,0.0001874130832,惡說,53,0.0001576680142
有餘,22,0.0001874130832,耆闍,53,0.0001576680142
行道,21,0.0001788943067,崛山,53,0.0001576680142
六聚,21,0.0001788943067,法眼,53,0.0001576680142
夜摩,21,0.0001788943067,出離,53,0.0001576680142
所作,21,0.0001788943067,塵垢,52,0.000154693146
莊嚴,21,0.0001788943067,自相,52,0.000154693146
八戒,21,0.0001788943067,晨朝,51,0.0001517182778
善心,21,0.0001788943067,變化,51,0.0001517182778
三世,21,0.0001788943067,國王,51,0.0001517182778
入寺,21,0.0001788943067,不信,51,0.0001517182778
四法,21,0.0001788943067,厭離,51,0.0001517182778
破夏,21,0.0001788943067,離奢,51,0.0001517182778
得入,21,0.0001788943067,蓮華,50,0.0001487434096
戒體,20,0.0001703755302,如實,50,0.0001487434096
二衣,20,0.0001703755302,已還,49,0.0001457685415
不還,20,0.0001703755302,無住,49,0.0001457685415
下品,20,0.0001703755302,瞻病,49,0.0001457685415
在家,20,0.0001703755302,跋提,49,0.0001457685415
佛像,20,0.0001703755302,草木,49,0.0001457685415
讚歎,20,0.0001703755302,真實,48,0.0001427936733
男女,20,0.0001703755302,波提,48,0.0001427936733
緣者,20,0.0001703755302,行入,48,0.0001427936733
修道,20,0.0001703755302,殺生,47,0.0001398188051
摩觸,20,0.0001703755302,食時,47,0.0001398188051
同法,20,0.0001703755302,自知,47,0.0001398188051
四藥,20,0.0001703755302,二道,46,0.0001368439369
聖教,20,0.0001703755302,聖諦,46,0.0001368439369
信施,20,0.0001703755302,心念,46,0.0001368439369
由旬,20,0.0001703755302,獼猴,46,0.0001368439369
惡觸,19,0.0001618567536,阿梨,45,0.0001338690687
五法,19,0.0001618567536,二見,45,0.0001338690687
知法,19,0.0001618567536,廣說,45,0.0001338690687
問訊,19,0.0001618567536,淨地,45,0.0001338690687
廣說,19,0.0001618567536,染著,45,0.0001338690687
鬼神,19,0.0001618567536,精舍,45,0.0001338690687
發戒,19,0.0001618567536,作者,45,0.0001338690687
二受,19,0.0001618567536,諸天,45,0.0001338690687
長者,19,0.0001618567536,佛語,44,0.0001308942005
不信,19,0.0001618567536,持律,44,0.0001308942005
果報,19,0.0001618567536,我見,44,0.0001308942005
律師,19,0.0001618567536,三昧,44,0.0001308942005
護法,19,0.0001618567536,浴室,44,0.0001308942005
睡眠,19,0.0001618567536,自在,43,0.0001279193323
戒行,18,0.0001533379771,飲酒,43,0.0001279193323
剃髮,18,0.0001533379771,教化,43,0.0001279193323
身心,18,0.0001533379771,相似,43,0.0001279193323
污家,18,0.0001533379771,惡語,42,0.0001249444641
所有,18,0.0001533379771,佛塔,42,0.0001249444641
二師,18,0.0001533379771,不生,42,0.0001249444641
現在,18,0.0001533379771,難提,42,0.0001249444641
三句,18,0.0001533379771,無上,41,0.0001219695959
雜含,18,0.0001533379771,仙人,41,0.0001219695959
煩惱,18,0.0001533379771,尼衣,41,0.0001219695959
止犯,18,0.0001533379771,華色,41,0.0001219695959
法師,18,0.0001533379771,定光,41,0.0001219695959
寺中,18,0.0001533379771,水器,41,0.0001219695959
三難,18,0.0001533379771,誦經,40,0.0001189947277
思惟,17,0.0001448192006,波利,40,0.0001189947277
聲聞,17,0.0001448192006,長衣,40,0.0001189947277
夏中,17,0.0001448192006,師子,40,0.0001189947277
尼寺,17,0.0001448192006,淨人,40,0.0001189947277
善惡,17,0.0001448192006,四事,40,0.0001189947277
緣起,17,0.0001448192006,即是,40,0.0001189947277
三有,17,0.0001448192006,我法,39,0.0001160198595
有法,17,0.0001448192006,婆提,39,0.0001160198595
後生,17,0.0001448192006,樂受,39,0.0001160198595
法身,17,0.0001448192006,能變,39,0.0001160198595
聖人,17,0.0001448192006,生天,39,0.0001160198595
五過,17,0.0001448192006,修羅,39,0.0001160198595
慈心,17,0.0001448192006,人有,39,0.0001160198595
經行,17,0.0001448192006,慈心,39,0.0001160198595
未來,17,0.0001448192006,無依,38,0.0001130449913
式叉,17,0.0001448192006,陀羅,38,0.0001130449913
染心,17,0.0001448192006,觸樂,38,0.0001130449913
文證,17,0.0001448192006,教令,38,0.0001130449913
真實,16,0.0001363004241,增上,38,0.0001130449913
多羅,16,0.0001363004241,道者,37,0.0001100701231
五條,16,0.0001363004241,見者,37,0.0001100701231
壞色,16,0.0001363004241,羅婆,37,0.0001100701231
我所,16,0.0001363004241,受衣,37,0.0001100701231
見者,16,0.0001363004241,人身,37,0.0001100701231
在世,16,0.0001363004241,堅牢,37,0.0001100701231
提舍,16,0.0001363004241,音聲,37,0.0001100701231
無常,16,0.0001363004241,覆鉢,37,0.0001100701231
世間,16,0.0001363004241,國土,36,0.0001070952549
福田,16,0.0001363004241,闍世,36,0.0001070952549
三歸,16,0.0001363004241,聞法,36,0.0001070952549
食戒,16,0.0001363004241,見法,35,0.0001041203868
食後,16,0.0001363004241,教誡,35,0.0001041203868
信心,16,0.0001363004241,楊枝,34,0.0001011455186
發心,16,0.0001363004241,壞色,34,0.0001011455186
泥洹,16,0.0001363004241,地獄,34,0.0001011455186
三藏,16,0.0001363004241,二犯,34,0.0001011455186
利益,16,0.0001363004241,木叉,34,0.0001011455186
出要,16,0.0001363004241,調伏,34,0.0001011455186
道者,15,0.0001277816476,袈裟,34,0.0001011455186
平等,15,0.0001277816476,琉璃,34,0.0001011455186
五大,15,0.0001277816476,至真,33,9.82E-05
婆沙,15,0.0001277816476,十夜,33,9.82E-05
佛教,15,0.0001277816476,諸根,33,9.82E-05
知者,15,0.0001277816476,放逸,33,9.82E-05
知足,15,0.0001277816476,非道,33,9.82E-05
戒律,15,0.0001277816476,未來,33,9.82E-05
惡業,15,0.0001277816476,陵伽,32,9.52E-05
作禮,15,0.0001277816476,在家,32,9.52E-05
無慚,15,0.0001277816476,梵天,32,9.52E-05
云云,15,0.0001277816476,悔過,32,9.52E-05
邪見,15,0.0001277816476,一心,32,9.52E-05
破僧,15,0.0001277816476,法滅,32,9.52E-05
七條,15,0.0001277816476,抖擻,32,9.52E-05
自煮,15,0.0001277816476,惡道,31,9.22E-05
聖法,15,0.0001277816476,指印,31,9.22E-05
偏袒,15,0.0001277816476,觀察,31,9.22E-05
法相,15,0.0001277816476,講堂,31,9.22E-05
諸天,15,0.0001277816476,佛教,31,9.22E-05
大戒,14,0.0001192628711,有作,31,9.22E-05
不覺,14,0.0001192628711,欲取,31,9.22E-05
捨戒,14,0.0001192628711,願佛,31,9.22E-05
自在,14,0.0001192628711,搩手,31,9.22E-05
索欲,14,0.0001192628711,一食,31,9.22E-05
持者,14,0.0001192628711,看病,30,8.92E-05
知識,14,0.0001192628711,婆蹉,30,8.92E-05
持鉢,14,0.0001192628711,死屍,30,8.92E-05
二戒,14,0.0001192628711,現相,30,8.92E-05
憶念,14,0.0001192628711,不動,30,8.92E-05
多聞,14,0.0001192628711,作禮,30,8.92E-05
念法,14,0.0001192628711,受者,30,8.92E-05
一界,14,0.0001192628711,出世,30,8.92E-05
一向,14,0.0001192628711,四法,30,8.92E-05
須臾,14,0.0001192628711,畢陵,30,8.92E-05
決定,14,0.0001192628711,發起,29,8.63E-05
儀式,14,0.0001192628711,廣大,29,8.63E-05
緣事,14,0.0001192628711,福德,29,8.63E-05
初夜,14,0.0001192628711,無慚,29,8.63E-05
住持,14,0.0001192628711,小界,29,8.63E-05
相對,14,0.0001192628711,四月,29,8.63E-05
受欲,14,0.0001192628711,後夜,29,8.63E-05
安樂,13,0.0001107440946,相應,29,8.63E-05
中含,13,0.0001107440946,端嚴,28,8.33E-05
阿含,13,0.0001107440946,十六,28,8.33E-05
祇支,13,0.0001107440946,蘇摩,28,8.33E-05
遠離,13,0.0001107440946,伽陀,28,8.33E-05
佛物,13,0.0001107440946,留難,28,8.33E-05
