意成,1
許可,5
知事,31
橫,11
皮衣,6
佛身,7
所緣,3
發露,45
聲,86
大千,1
田衣,1
發遣,1
曇,12
甘蔗,9
先生,1
故二,4
飲酒,9
阿梨耶,1
六和敬,1
三十捨墮,3
無所著,1
禿人,1
佛見,1
瞋毒,1
書寫,1
波利,7
德海,1
四恩,1
佛語,12
中悔,6
會得,1
自餓外道,1
佛說,8
羅網,2
合用,1
冥諦,1
迴施,3
學,238
寶藏,8
塚間坐,1
佛讚,5
會座,1
塵網,1
僧祇律,7
厭,35
造塔,2
要言,1
捨墮,57
先業,1
米,49
發起,3
仁王經,1
常住僧物,1
赤色,2
清白,2
所有,18
污戒,1
要行,3
要術,2
佛陀,1
性善,1
餘念,2
角,95
吉利,2
婆,189
便利,4
定共戒,1
鉤紐,3
牛車,1
究竟位,1
地種,1
滅擯,33
鬼神,19
布施,25
佛道,9
微塵,2
污染,5
觸食,3
地結,1
性分,2
震嶺,2
難陀,1
持律,25
德生,1
性具,1
供養第一,1
剎利,4
傀儡子,1
德瓶,1
墮在,3
禪法,2
捨心,10
性得,1
雜緣,1
等至,1
眾生根,1
造像,7
門首,3
合掌,38
板,4
陵伽,3
火大,1
性,79
地獄,39
六齋日,1
約,115
凡聖,11
赤衣,1
樹下坐,1
滅法,7
境,209
百一物,8
道門,2
羅漢,37
觸境,1
寶雲,1
地界,1
寶階,1
學悔,11
第五大,1
印可,1
持名,1
事,881
種子,5
甘露,1
繫,39
持地,1
方便,129
捨,444
食前,11
必定,5
無上菩提,1
歸依法,7
海,29
三點,2
善親友,1
攝衣界,5
沓婆,1
在家,20
在俗,7
佛教,15
轉輪王,1
上士,2
月燈三昧,1
意解,1
佛日,2
摩頭,1
意見,1
佛智,1
意言,3
四無色,1
凡福,2
闇室,1
意識,1
梵住,1
白四,22
佛果,1
鉤,21
佛性,3
中論,1
不如法,14
廣大,5
互跪,38
勤,25
乞食,55
業受,3
末利,1
曇摩,1
佛戒,4
八部,2
三寶物,15
大品,2
羅門,4
我事,1
所量,2
轉變,5
上座,203
鬼,39
地水火風空識,1
著心,2
中觀,1
仰食,1
德護,1
寶所,3
南無,3
任運,5
佛法,140
佛海,1
化制二教,1
竹園,1
等慈,1
禪室,1
禪定,8
無作戒,3
專行,2
石女,2
佛滅,3
門標,1
莊嚴,21
驅龍,1
諸欲,1
德行,8
極地,1
等持,1
弘法,1
無常磬,1
宿煮,8
留難,7
蛇,19
微密,1
禪師,4
因人,2
應文,1
反抄,4
見佛,8
中草,2
慈,72
空,94
果,196
瞋恚,6
尼寺,17
業報,3
應本,2
意處,3
廣博,1
毛頭,3
師子王,1
先陳,2
佛殿,2
菩薩僧,1
見取,2
沙彌威儀,2
相應心,1
無差別,3
入眾衣,1
諸根,10
希有,2
四無量,1
示導,8
唄匿,2
樂受,1
智,147
降伏,3
見分,1
憍,15
對首,43
白二羯磨,5
邊罪難,1
醍醐,2
堪能,3
梵志,2
明教,1
優婆提舍,1
式叉摩那,3
六聚罪,1
善,573
摩訶,3
布薩,79
有邊,1
力士,1
梵壇,1
八關齋,2
五明,12
思益經,1
細心,1
莊嚴論,1
見地,1
論偈,1
經生,2
在世,16
飛行,1
梵天,3
上供,1
生老病死,1
佛物,13
中食,10
薩偷羅,1
求那跋摩,1
變化,1
上人,4
迦絺那,10
解脫,36
羅,456
中陰,1
導引,1
大比丘,24
清信士,1
香味,5
囑累,2
末代,3
小乘經,2
清信女,2
寶珠,1
油鉢,2
教授阿闍梨,1
佛經,4
末世,1
梵唄,1
眾生說,2
一闡提,1
凡愚,3
十四種色,1
頗,8
見大,2
三供養,1
孝養,1
磬,4
論師,3
凡情,3
馬,38
孝順,3
羅睺羅,1
見得,1
寶相,1
力,100
所詮,1
詐現異相,1
瓦鉢,9
二諦,3
忍辱,1
顯明,1
索欲,14
中道,6
高顯處,2
發戒,19
佛種,5
解行,2
論家,1
三十三天,1
自,1009
地,432
糞除,2
歡喜,23
盆,16
依地,2
色無色天計涅槃外道,1
無,1873
瞿陀尼,1
阿練若,8
出佛身血,3
閻浮,6
會通,3
般若,2
故苦,1
黃葉,1
下間,1
須陀洹,2
凡夫,11
師子座,2
樂修,1
菩薩,29
香湯,8
菩薩戒,1
夫人,2
圓滿,1
護法心,1
言斷,1
野干,1
里,39
發得,8
波逸提,44
事相,6
貪結,1
外緣,4
未離欲,2
知者,15
香案,1
快樂,2
契經,5
般泥洹,1
提舍,16
八萬四,1
阿那律,1
應作,44
應供,3
捨身,3
二種僧,2
等供,5
道體,1
應人,1
禪病,2
寶積經,1
火葬,3
八聖道,2
疥癩野干,1
二種常,1
心精進,1
梵摩,1
阿,109
觀照,1
成就四法,1
持者,14
知足,15
新歲經,1
佛世,7
酒,71
叫喚地獄,1
用心,5
波離,3
佛事,5
圓果,1
業,215
佛使,2
廁孔,1
思,65
宿因,1
佛供,1
梵本,1
師子國,3
無邊,11
五戒,30
閑處,1
墮負,3
應,1089
用大,2
拘盧,11
想,193
蟲,78
喻,21
證明,10
三惡道,8
五法人,1
宿債,1
知見,2
記,50
一由旬,1
二足,3
得,2492
知論,1
緣中,6
響,4
知識,14
見法,4
顛倒,6
坐,364
維那,27
五正食,1
禪經,2
應滅擯,7
生得定,1
黃門,12
論用,1
禪戒,2
舊住,4
業果,1
補處,2
南,48
牒文,1
瞋心,9
事惑,1
寶塔,4
貪欲,5
毘婆沙,4
愛著,2
佛因,3
婆藪,2
明,898
事懺,4
受記,1
佛土,1
法,2597
佛地,3
仁王,1
繫縛,2
使者,3
別解脫戒,1
諍論,1
閻羅,1
業成,1
著法,3
佛像,20
佛光,1
禪杖,1
五正色,1
順生,1
逆流,1
業性,1
緣修,3
食,1172
九十單墮,2
懸香,1
無所得,1
持齋,1
歌聲,1
等得,6
佛印,1
數識,1
害,25
佛化,2
巨磨,2
等心,5
過去佛,1
流轉,1
五八十具,1
禪鎮,3
廣教,1
證法,1
字,59
割縷淨,1
羯磨戒師,1
末流,1
方詣,1
寶像,1
法滅盡經,1
安居竟,15
末法,6
持鉢,14
闇,27
佛德,2
蛾,1
下衣,7
佛塔,25
寶器,1
妨難,9
圓照,1
上方,3
悲華經,1
佛堂,4
腐爛藥,1
歌詠,3
殺,120
佛境,1
極惡,2
理,173
佛奴,1
解,380
佛天,1
力生,2
極成,1
多,811
僧祇,483
信,158
香爐,6
門師,1
七寶塔,2
貪染,3
五慳,1
示現,3
忍土,1
佛子,6
梵王,1
應器,2
失念,1
佛寶,1
佛家,1
非梵行,2
戒取,1
口和,3
惡世,2
戒印,1
惡人,12
魔民,1
不生,28
戒力,2
惡作,3
六位,1
善業,2
六作,4
天識,1
龜,3
二部戒本,1
二入,3
二六,2
二八,1
行堂,1
稠林,1
二加,5
九想,1
無上,4
口四,1
月光,2
二利,1
體解,1
行學,1
真道,1
大聖,6
實,130
賢愚經,4
報恩,11
無住,5
善惡,17
二受,19
無作,57
波羅提木叉,5
波羅提提舍尼,4
長者,19
長老,52
善性,4
攝僧界,2
壞相,4
偽經,3
財施,2
那,87
二和,3
魔梵,2
如是因,4
女情,2
雷,3
實語,4
內供,1
念經,1
二善,1
蘭,177
蓮華色尼,2
俗人,93
威儀,132
共法,1
遮制,1
簡別,1
戒善,3
二因,5
行德,3
愛念,1
眠,49
梵,73
二學,1
戒品,3
大藏,1
梵天法,1
瞻病,12
戒名,3
白蓋,1
纏,16
戒定,4
大論,7
行入,1
八不,12
分別功德論,2
憶持,5
戒學,1
行儀,1
二如,2
隨經律,1
毘尼母論,3
情塵,1
初果,2
外道,75
二女,1
