word,num1804,freq1804,num1428,freq1428,freq_diff,num_1421,freq_1421,delta_1421,num_1435,freq_1435,delta_1435,num_1425,freq_1425,delta_1425,num_1462,freq_1462,delta_1462,averaged_delta_mf
沙彌戒經,1.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,8.518776507566325e-06
二離,2.0,1.703755301513265e-05,0.0,0.0,1.703755301513265e-05,0.0,0.0,1.703755301513265e-05,0.0,0.0,1.703755301513265e-05,1.0,3.858168803439388e-06,1.317938421169326e-05,2.0,2.120799668265638e-05,-4.170443667523732e-06,1.2024319917913496e-05
六行,4.0,3.40751060302653e-05,0.0,0.0,3.40751060302653e-05,0.0,0.0,3.40751060302653e-05,0.0,0.0,3.40751060302653e-05,0.0,0.0,3.40751060302653e-05,0.0,0.0,3.40751060302653e-05,3.40751060302653e-05
十法,2.0,1.703755301513265e-05,20.0,5.949736385854871e-05,-4.245981084341606e-05,6.0,3.762539866261111e-05,-2.058784564747846e-05,8.0,2.1650580616654928e-05,-4.613027601522279e-06,32.0,0.0001234614017100604,-0.00010642384869492775,4.0,4.241599336531276e-05,-2.5378440350180114e-05,-3.989259462750493e-05
福行,2.0,1.703755301513265e-05,0.0,0.0,1.703755301513265e-05,0.0,0.0,1.703755301513265e-05,1.0,2.706322577081866e-06,1.4331230438050783e-05,1.0,3.858168803439388e-06,1.317938421169326e-05,0.0,0.0,1.703755301513265e-05,1.5724654739028396e-05
八聖,2.0,1.703755301513265e-05,4.0,1.189947277170974e-05,5.1380802434229096e-06,3.0,1.8812699331305554e-05,-1.7751463161729049e-06,1.0,2.706322577081866e-06,1.4331230438050783e-05,1.0,3.858168803439388e-06,1.317938421169326e-05,1.0,1.060399834132819e-05,6.4335546738044584e-06,7.461420650159701e-06
因,244.0,0.0020785814678461827,1053.0,0.003132536207152589,-0.0010539547393064062,251.0,0.001573995844052565,0.0005045856237936178,1937.0,0.005242146831807575,-0.003163565363961392,727.0,0.002804888720100435,-0.0007263072522542525,360.0,0.0038174394028781494,-0.0017388579350319667,-0.00123561993335208
阿耨達,1.0,8.518776507566325e-06,5.0,1.4874340964637177e-05,-6.3555644570708525e-06,5.0,3.135449888550926e-05,-2.2835722377942932e-05,11.0,2.976954834790053e-05,-2.1250771840334205e-05,1.0,3.858168803439388e-06,4.660607704126936e-06,3.0,3.181199502398457e-05,-2.3293218516418246e-05,-1.381493389752786e-05
無諍,1.0,8.518776507566325e-06,2.0,5.9497363858548715e-06,2.569040121711453e-06,7.0,4.389629843971296e-05,-3.5377521932146635e-05,13.0,3.5182193502064255e-05,-2.666341699449793e-05,1.0,3.858168803439388e-06,4.660607704126936e-06,1.0,1.060399834132819e-05,-2.085221833761866e-06,-1.1379302586913608e-05
校量,1.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,8.518776507566325e-06
誓言,1.0,8.518776507566325e-06,1.0,2.9748681929274358e-06,5.543908314638889e-06,2.0,1.2541799554203704e-05,-4.02302304663738e-06,1.0,2.706322577081866e-06,5.812453930484458e-06,2.0,7.716337606878775e-06,8.024389006875496e-07,5.0,5.301999170664096e-05,-4.450121519907464e-05,-7.273087419980225e-06
般泥洹經,1.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,8.518776507566325e-06
深法,3.0,2.5556329522698967e-05,0.0,0.0,2.5556329522698967e-05,0.0,0.0,2.5556329522698967e-05,5.0,1.353161288540933e-05,1.2024716637289636e-05,1.0,3.858168803439388e-06,2.1698160719259578e-05,1.0,1.060399834132819e-05,1.4952331181370776e-05,1.9957573516663585e-05
世福,1.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,8.518776507566325e-06
道者,15.0,0.00012778164761349486,37.0,0.00011007012313831509,1.7711524475179765e-05,32.0,0.00020066879286725922,-7.288714525376436e-05,10.0,2.706322577081866e-05,0.0001007184218426762,24.0,9.25960512825453e-05,3.5185596330949555e-05,22.0,0.00023328796350922015,-0.0001055063158957253,-4.955583700136829e-06
觀樹,1.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,8.518776507566325e-06
滿荼邏,1.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,1.0,3.858168803439388e-06,4.660607704126936e-06,0.0,0.0,8.518776507566325e-06,7.747142746878447e-06
惡觸,19.0,0.00016185675364376015,0.0,0.0,0.00016185675364376015,5.0,3.135449888550926e-05,0.0001305022547582509,0.0,0.0,0.00016185675364376015,0.0,0.0,0.00016185675364376015,1.0,1.060399834132819e-05,0.00015125275530243198,0.00015346505419839266
伽胝,1.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,8.518776507566325e-06
六親,4.0,3.40751060302653e-05,0.0,0.0,3.40751060302653e-05,0.0,0.0,3.40751060302653e-05,0.0,0.0,3.40751060302653e-05,0.0,0.0,3.40751060302653e-05,2.0,2.120799668265638e-05,1.2867109347608917e-05,2.9833506693734022e-05
惡見,6.0,5.111265904539795e-05,168.0,0.0004997778564118092,-0.0004486651973664112,2.0,1.2541799554203704e-05,3.8570859491194245e-05,8.0,2.1650580616654928e-05,2.946207842874302e-05,26.0,0.00010031238888942408,-4.919972984402613e-05,3.0,3.181199502398457e-05,1.9300664021413377e-05,-8.210626505381734e-05
外凡,3.0,2.5556329522698967e-05,0.0,0.0,2.5556329522698967e-05,0.0,0.0,2.5556329522698967e-05,0.0,0.0,2.5556329522698967e-05,0.0,0.0,2.5556329522698967e-05,0.0,0.0,2.5556329522698967e-05,2.5556329522698967e-05
五相,2.0,1.703755301513265e-05,0.0,0.0,1.703755301513265e-05,0.0,0.0,1.703755301513265e-05,4.0,1.0825290308327464e-05,6.212262706805185e-06,0.0,0.0,1.703755301513265e-05,0.0,0.0,1.703755301513265e-05,1.4872494953467157e-05
六處,2.0,1.703755301513265e-05,3.0,8.924604578782306e-06,8.112948436350344e-06,0.0,0.0,1.703755301513265e-05,0.0,0.0,1.703755301513265e-05,0.0,0.0,1.703755301513265e-05,3.0,3.181199502398457e-05,-1.4774442008851921e-05,8.890233094579274e-06
智慧念佛,1.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,8.518776507566325e-06
無著,2.0,1.703755301513265e-05,5.0,1.4874340964637177e-05,2.163212050495472e-06,8.0,5.0167198216814804e-05,-3.3129645201682155e-05,4.0,1.0825290308327464e-05,6.212262706805185e-06,1.0,3.858168803439388e-06,1.317938421169326e-05,2.0,2.120799668265638e-05,-4.170443667523732e-06,-3.149045980042395e-06
二食,11.0,9.370654158322957e-05,0.0,0.0,9.370654158322957e-05,0.0,0.0,9.370654158322957e-05,1.0,2.706322577081866e-06,9.10002190061477e-05,2.0,7.716337606878775e-06,8.599020397635079e-05,1.0,1.060399834132819e-05,8.310254324190138e-05,8.95012098781718e-05
道要,2.0,1.703755301513265e-05,0.0,0.0,1.703755301513265e-05,0.0,0.0,1.703755301513265e-05,0.0,0.0,1.703755301513265e-05,0.0,0.0,1.703755301513265e-05,0.0,0.0,1.703755301513265e-05,1.703755301513265e-05
外儀,1.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,8.518776507566325e-06
我倒,5.0,4.259388253783162e-05,0.0,0.0,4.259388253783162e-05,0.0,0.0,4.259388253783162e-05,0.0,0.0,4.259388253783162e-05,0.0,0.0,4.259388253783162e-05,0.0,0.0,4.259388253783162e-05,4.259388253783162e-05
有一人,4.0,3.40751060302653e-05,11.0,3.2723550122201785e-05,1.3515559080635135e-06,10.0,6.27089977710185e-05,-2.86338917407532e-05,11.0,2.976954834790053e-05,4.305557682364769e-06,7.0,2.700718162407571e-05,7.0679244061895875e-06,9.0,9.543598507195372e-05,-6.136087904168842e-05,-1.545394655716475e-05
四儀,2.0,1.703755301513265e-05,0.0,0.0,1.703755301513265e-05,0.0,0.0,1.703755301513265e-05,0.0,0.0,1.703755301513265e-05,0.0,0.0,1.703755301513265e-05,0.0,0.0,1.703755301513265e-05,1.703755301513265e-05
道觀,1.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,0.0,0.0,8.518776507566325e-06,8.518776507566325e-06
頂禮,2.0,1.703755301513265e-05,0.0,0.0,1.703755301513265e-05,24.0,0.00015050159465044443,-0.00013346404163531178,1.0,2.706322577081866e-06,1.4331230438050783e-05,9.0,3.472351923095449e-05,-1.768596621582184e-05,8.0,8.483198673062553e-05,-6.779443371549288e-05,-3.7515131622688615e-05
小行,5.0,4.259388253783162e-05,3.0,8.924604578782306e-06,3.366927795904932e-05,1.0,6.2708997771018505e-06,3.632298276072977e-05,2.0,5.412645154163732e-06,3.7181237383667894e-05,41.0,0.00015818492094101487,-0.00011559103840318325,0.0,0.0,4.259388253783162e-05,6.835268447619072e-06
身戒,5.0,4.259388253783162e-05,1.0,2.9748681929274358e-06,3.9619014344904186e-05,1.0,6.2708997771018505e-06,3.632298276072977e-05,8.0,2.1650580616654928e-05,2.0943301921176695e-05,0.0,0.0,4.259388253783162e-05,0.0,0.0,4.259388253783162e-05,3.641461282049477e-05
戒體,20.0,0.0001703755301513265,0.0,0.0,0.0001703755301513265,0.0,0.0,0.0001703755301513265,1.0,2.706322577081866e-06,0.00016766920757424461,0.0,0.0,0.0001703755301513265,0.0,0.0,0.0001703755301513265,0.0001698342656359101
